Source,Target,Type,Weight,edge_name,edge_color,travel_seconds
326,345,Undirected,0.0026595744680851063,9,#A60084,376
15,14,Undirected,0.0033222591362126247,1,#2DBEF0,301
102,103,Undirected,0.0029154518950437317,5,#8FD400,343
29,115,Directed,0.004310344827586207,6,#98989B,232
115,29,Directed,0.004048582995951417,6,#98989B,247
283,282,Undirected,0.0035211267605633804,10,#005AA9,284
9,57,Undirected,0.004545454545454545,4,#B65518,220
84,57,Undirected,0.0036900369003690036,5,#8FD400,271
133,134,Undirected,0.003703703703703704,7,#EE7518,270
93,92,Undirected,0.0040650406504065045,5,#8FD400,246
28,29,Undirected,0.004166666666666667,2,#ED1C24,240
100,99,Undirected,0.003289473684210526,5,#8FD400,304
98,99,Undirected,0.003968253968253968,5,#8FD400,252
236,235,Undirected,0.002976190476190476,12,#A49800,336
175,176,Undirected,0.0033444816053511705,9,#A60084,299
215,214,Undirected,0.0032679738562091504,12,#A49800,306
252,253,Undirected,0.0036231884057971015,5,#8FD400,276
158,159,Undirected,0.0020325203252032522,8,#EC82B1,492
203,204,Undirected,0.001869158878504673,10,#005AA9,535
265,263,Undirected,0.004219409282700422,4,#B65518,237
44,43,Undirected,0.0038910505836575876,3,#FFD000,257
39,52,Undirected,0.0035335689045936395,4,#B65518,283
127,199,Undirected,0.00303951367781155,10,#005AA9,329
74,253,Undirected,0.002652519893899204,5,#8FD400,377
221,222,Undirected,0.002824858757062147,12,#A49800,354
176,177,Undirected,0.003401360544217687,9,#A60084,294
217,218,Undirected,0.0020242914979757085,12,#A49800,494
95,94,Undirected,0.0035842293906810036,5,#8FD400,279
47,12,Undirected,0.0035211267605633804,3,#FFD000,284
101,100,Undirected,0.0037735849056603774,5,#8FD400,265
120,192,Undirected,0.004132231404958678,10,#005AA9,242
90,91,Undirected,0.003952569169960474,5,#8FD400,253
115,114,Directed,0.003968253968253968,6,#98989B,252
114,115,Directed,0.003745318352059925,6,#98989B,267
147,122,Undirected,0.0032679738562091504,7,#EE7518,306
272,273,Undirected,0.002512562814070352,3,#FFD000,398
120,119,Directed,0.0036101083032490976,6,#98989B,277
119,120,Directed,0.003424657534246575,6,#98989B,292
162,161,Undirected,0.003246753246753247,9,#A60084,308
300,183,Undirected,0.0019157088122605363,9,#A60084,522
140,139,Undirected,0.003937007874015748,7,#EE7518,254
21,22,Undirected,0.0035460992907801418,1,#2DBEF0,282
185,184,Undirected,0.0017452006980802793,9,#A60084,573
285,160,Undirected,0.0029585798816568047,8,#EC82B1,338
1,261,Undirected,0.00398406374501992,1,#2DBEF0,251
36,37,Undirected,0.004694835680751174,2,#ED1C24,213
323,322,Undirected,0.003194888178913738,2,#ED1C24,313
160,159,Undirected,0.003472222222222222,8,#EC82B1,288
279,278,Undirected,0.0028653295128939827,10,#005AA9,349
219,218,Undirected,0.0022727272727272726,12,#A49800,440
53,124,Directed,0.0030581039755351682,6,#98989B,327
124,53,Directed,0.0029239766081871343,6,#98989B,342
127,52,Directed,0.0030211480362537764,6,#98989B,331
52,127,Directed,0.002890173410404624,6,#98989B,346
9,10,Undirected,0.0037174721189591076,1,#2DBEF0,269
102,101,Undirected,0.004310344827586207,5,#8FD400,232
136,78,Undirected,0.003937007874015748,7,#EE7518,254
271,272,Undirected,0.0033783783783783786,3,#FFD000,296
145,122,Undirected,0.002890173410404624,7,#EE7518,346
49,11,Undirected,0.004651162790697674,5,#8FD400,215
51,197,Undirected,0.004784688995215311,3,#FFD000,209
257,202,Undirected,0.002702702702702703,10,#005AA9,370
295,294,Undirected,0.0035460992907801418,1,#2DBEF0,282
59,60,Undirected,0.004784688995215311,4,#B65518,209
281,282,Undirected,0.0036900369003690036,10,#005AA9,271
25,24,Undirected,0.0024875621890547263,1,#2DBEF0,402
21,20,Undirected,0.0035087719298245615,1,#2DBEF0,285
152,154,Undirected,0.0030959752321981426,7,#EE7518,323
23,24,Undirected,0.0034129692832764505,1,#2DBEF0,293
300,184,Undirected,0.0024509803921568627,9,#A60084,408
91,92,Undirected,0.003355704697986577,5,#8FD400,298
135,134,Undirected,0.0037593984962406013,7,#EE7518,266
73,264,Undirected,0.003676470588235294,4,#B65518,272
267,43,Undirected,0.0036496350364963502,3,#FFD000,274
130,129,Directed,0.0036496350364963502,6,#98989B,274
129,130,Directed,0.0034602076124567475,6,#98989B,289
142,120,Undirected,0.004016064257028112,10,#005AA9,249
233,234,Undirected,0.003134796238244514,12,#A49800,319
3,4,Undirected,0.0031847133757961785,1,#2DBEF0,314
145,41,Undirected,0.003861003861003861,7,#EE7518,259
30,60,Undirected,0.004366812227074236,4,#B65518,229
57,86,Undirected,0.0037174721189591076,5,#8FD400,269
1,165,Undirected,0.003816793893129771,9,#A60084,262
127,36,Undirected,0.0034965034965034965,R,#FFFFFF,286
31,83,Undirected,0.0034602076124567475,9,#A60084,289
11,12,Undirected,0.004081632653061225,1,#2DBEF0,245
107,96,Directed,0.0021598272138228943,6,#98989B,463
96,107,Directed,0.0020920502092050207,6,#98989B,478
105,104,Directed,0.0027624309392265192,6,#98989B,362
104,105,Directed,0.002652519893899204,6,#98989B,377
