Source,Target,Weight,edge_name,edge_color,travel_seconds,longitude_Source,latitude_Source,longitude_Target,latitude_Target,distance_meters,speed_ms
138,139,0.0035714286,7,EE7518,280.0,-3.6519999999999997,40.4391,-3.6629699999999996,40.43945,931.5514134659003,3.3269693338067867
220,219,0.0032258065,12,A49800,310.0,-3.80632,40.28518,-3.81642,40.285759999999996,861.2869135537908,2.778344882431583
93,94,0.0035842294,5,8FD400,279.0,-3.71138,40.4026,-3.71596,40.39736,699.8129790266568,2.508290247407372
223,224,0.003030303,12,A49800,330.0,-3.75682,40.288740000000004,-3.7457599999999998,40.293240000000004,1064.9407570019512,3.227093203036216
197,10,0.0043668121999999995,10,005AA9,229.0,-3.7112,40.42342,-3.7011,40.426190000000005,910.6303343864005,3.9765516785432333
86,11,0.0041841004,5,8FD400,239.0,-3.6976199999999997,40.42293,-3.7018,40.42001,480.60029649149493,2.010879901638054
64,63,0.0042918455,4,B65518,233.0,-3.6766400000000004,40.43803,-3.67495,40.43468,398.67423626663435,1.7110482243203191
168,169,0.0036363636,9,A60084,275.0,-3.6773800000000003,40.45145,-3.67821,40.44427,800.3936640687718,2.9105224147955338
49,197,0.0043668121999999995,3,FFD000,229.0,-3.70566,40.42014,-3.7112,40.42342,594.7312789837421,2.5970798208897032
271,270,0.0032154340999999997,3,FFD000,311.0,-3.69265,40.35089,-3.69363,40.359590000000004,969.6412103570852,3.1178173966465765
